Prediction Accuracy = 39.681999999999995%, Running Loss = 5.66403980255127
Prediction Accuracy = 39.686%, Running Loss = 5.663894081115723
Prediction Accuracy = 39.72%, Running Loss = 5.663642501831054
Prediction Accuracy = 39.79600000000001%, Running Loss = 5.663536405563354
Prediction Accuracy = 39.806%, Running Loss = 5.663092708587646
Prediction Accuracy = 39.854%, Running Loss = 5.662855386734009
Prediction Accuracy = 39.861999999999995%, Running Loss = 5.662646770477295
Prediction Accuracy = 39.95%, Running Loss = 5.66329174041748
Prediction Accuracy = 39.922000000000004%, Running Loss = 5.662728786468506
Prediction Accuracy = 39.928000000000004%, Running Loss = 5.662135887145996
Prediction Accuracy = 39.992000000000004%, Running Loss = 5.662243986129761
Prediction Accuracy = 40.098%, Running Loss = 5.661497116088867
Prediction Accuracy = 40.138%, Running Loss = 5.661149358749389
Prediction Accuracy = 40.14%, Running Loss = 5.661024522781372
Prediction Accuracy = 40.190000000000005%, Running Loss = 5.660935926437378
Prediction Accuracy = 40.17%, Running Loss = 5.660606098175049
Prediction Accuracy = 40.266000000000005%, Running Loss = 5.660199880599976
Prediction Accuracy = 40.275999999999996%, Running Loss = 5.660283613204956
Prediction Accuracy = 40.37%, Running Loss = 5.659726285934449
Prediction Accuracy = 40.408%, Running Loss = 5.6597682476043705
Prediction Accuracy = 40.376000000000005%, Running Loss = 5.659668493270874
Prediction Accuracy = 40.42%, Running Loss = 5.659061527252197
Prediction Accuracy = 40.474000000000004%, Running Loss = 5.659320878982544
Prediction Accuracy = 40.501999999999995%, Running Loss = 5.658662128448486
Prediction Accuracy = 40.553999999999995%, Running Loss = 5.658596181869507
Prediction Accuracy = 40.604%, Running Loss = 5.658335590362549
Prediction Accuracy = 40.632000000000005%, Running Loss = 5.658020639419556
Prediction Accuracy = 40.642%, Running Loss = 5.658080148696899
Prediction Accuracy = 40.684000000000005%, Running Loss = 5.658264875411987
Prediction Accuracy = 40.734%, Running Loss = 5.657329463958741
Prediction Accuracy = 40.736000000000004%, Running Loss = 5.657271766662598
Prediction Accuracy = 40.814%, Running Loss = 5.657032632827759
Prediction Accuracy = 40.782%, Running Loss = 5.6563890933990475
Prediction Accuracy = 40.824%, Running Loss = 5.656753969192505
Prediction Accuracy = 40.833999999999996%, Running Loss = 5.656232452392578
Prediction Accuracy = 40.862%, Running Loss = 5.655897569656372
Prediction Accuracy = 40.912%, Running Loss = 5.655820751190186
Prediction Accuracy = 40.948%, Running Loss = 5.65554838180542
Prediction Accuracy = 41.016000000000005%, Running Loss = 5.6553661823272705
Prediction Accuracy = 41.024%, Running Loss = 5.655138158798218
Prediction Accuracy = 41.088%, Running Loss = 5.655032539367676
Prediction Accuracy = 41.126%, Running Loss = 5.65502142906189
Prediction Accuracy = 41.019999999999996%, Running Loss = 5.654816627502441
Prediction Accuracy = 41.144000000000005%, Running Loss = 5.65486888885498
Prediction Accuracy = 41.20399999999999%, Running Loss = 5.654466819763184
Prediction Accuracy = 41.238%, Running Loss = 5.654084825515747
Prediction Accuracy = 41.269999999999996%, Running Loss = 5.653872871398926
Prediction Accuracy = 41.264%, Running Loss = 5.653571128845215
Prediction Accuracy = 41.30200000000001%, Running Loss = 5.653507328033447
Prediction Accuracy = 41.309999999999995%, Running Loss = 5.6530359268188475
Prediction Accuracy = 41.34599999999999%, Running Loss = 5.652973890304565
Prediction Accuracy = 41.28%, Running Loss = 5.652725172042847
Prediction Accuracy = 41.384%, Running Loss = 5.652922344207764
Prediction Accuracy = 41.304%, Running Loss = 5.652647256851196
Prediction Accuracy = 41.402%, Running Loss = 5.65209264755249
Prediction Accuracy = 41.412%, Running Loss = 5.651891565322876
Prediction Accuracy = 41.352%, Running Loss = 5.652271842956543
Prediction Accuracy = 41.472%, Running Loss = 5.652215003967285
Prediction Accuracy = 41.432%, Running Loss = 5.6516975402832035
Prediction Accuracy = 41.464000000000006%, Running Loss = 5.651806735992432
Prediction Accuracy = 41.498%, Running Loss = 5.651457118988037
Prediction Accuracy = 41.574%, Running Loss = 5.65099573135376
Prediction Accuracy = 41.583999999999996%, Running Loss = 5.650746488571167
Prediction Accuracy = 41.608%, Running Loss = 5.650821352005005
Prediction Accuracy = 41.668%, Running Loss = 5.650513648986816
Prediction Accuracy = 41.682%, Running Loss = 5.650155115127563
Prediction Accuracy = 41.67399999999999%, Running Loss = 5.650156450271607
Prediction Accuracy = 41.7%, Running Loss = 5.650231504440308
Prediction Accuracy = 41.73%, Running Loss = 5.649630832672119
Prediction Accuracy = 41.763999999999996%, Running Loss = 5.649694919586182
Prediction Accuracy = 41.864%, Running Loss = 5.649233865737915
Prediction Accuracy = 41.815999999999995%, Running Loss = 5.6492283821105955
Prediction Accuracy = 41.746%, Running Loss = 5.648956060409546
Prediction Accuracy = 41.882%, Running Loss = 5.648924493789673
Prediction Accuracy = 41.976000000000006%, Running Loss = 5.64891037940979
Prediction Accuracy = 41.918%, Running Loss = 5.648444509506225
Prediction Accuracy = 41.946000000000005%, Running Loss = 5.648332118988037
Prediction Accuracy = 41.964%, Running Loss = 5.6487141132354735
Prediction Accuracy = 42.022%, Running Loss = 5.648011875152588
Prediction Accuracy = 42.05%, Running Loss = 5.64812388420105
Prediction Accuracy = 42.008%, Running Loss = 5.648682928085327
